date,equity,trades_open,trades_closed,daily_pnl,cumulative_pnl,deployed_capital,available_capital,deployment_pct,free_cash,unrealised_pnl,total_portfolio_value,realised_pnl,daily_realised_pnl
16-11-2025 19:07,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:42:56,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:44:05,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:45:17,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:46:27,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:47:35,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:48:48,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 16:50:10,10000.0,11,0,0.0,0.0,,,,,,,,
2025-11-17 18:06:27,50000.0,11,0,0.0,0.0,0.0,50000.0,0.0,,,,,
2025-11-17 18:07:36,50000.0,11,0,0.0,0.0,0.0,50000.0,0.0,,,,,
2025-11-17 18:08:44,50000.0,11,0,0.0,0.0,0.0,50000.0,0.0,,,,,
2025-11-17 18:09:53,50000.0,11,0,0.0,0.0,0.0,50000.0,0.0,,,,,
2025-11-17 18:11:08,50000.0,11,0,0.0,0.0,0.0,50000.0,0.0,,,,,
2025-11-17 19:22:22,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-17 19:26:43,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-17 19:31:04,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-18 19:50:12,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-19 18:32:39,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-19 18:33:48,10000.0,12,0,0.0,0.0,,,,,,,,
2025-11-20 17:34:24,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-21 17:45:31,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-23 18:25:37,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-24 21:05:28,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-26 19:15:50,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-27 19:05:30,10000.0,13,0,0.0,0.0,,,,,,,,
2025-11-28 20:34:10,10000.0,13,0,0.0,0.0,,,,,,,,
2025-12-01 18:23:24,10000.0,13,0,0.0,0.0,,,,,,,,
2025-12-04 17:24:25,10000.0,14,0,0.0,0.0,,,,,,,,
2025-12-12 20:07:18,10000.0,14,0,0.0,0.0,,,,,,,,
2025-12-16 21:31:08,10000.0,14,0,0.0,0.0,,,,,,,,
2025-12-28 17:03:40,10000.0,14,0,0.0,0.0,,,,,,,,
2026-04-18 21:42:02,,5,0,,,9125.15,,,874.85,0.0,10000.0,0.0,0.0
2026-04-18 21:43:16,,5,0,,,9125.15,,,874.85,0.0,10000.0,0.0,0.0
2026-04-20 20:07:33,,5,0,,,9125.15,,,874.85,0.0,10000.0,0.0,0.0
2026-04-21 20:13:36,,5,0,,,9125.15,,,874.85,0.0,10000.0,0.0,0.0
2026-04-22 20:15:10,,5,0,,,9125.15,,,874.85,0.0,10000.0,0.0,0.0
