trade_id,symbol,side,entry_price,stop_loss,target_price,position_size,status,exit_date,exit_price,exit_reason,gross_pnl,commission,net_pnl,hold_days,entry_type,entry_date,confidence,risk_reward_ratio,alpha_score,alpha_tier,initial_stop_loss,trade_group_id,tranche,sentiment_score,sentiment_tier
RELIANCE_20260418_1,RELIANCE,LONG,1365.0,1318.07,1505.79,2,CLOSED,2026-07-16,1318.07,SL Hit,-93.86,0.02,-93.88,89.0,engulfing,2026-04-18,,,,,,,,,
HINDUNILVR_20260418_2,HINDUNILVR,LONG,2240.8,2171.03,2485.0,1,CLOSED,2026-07-16,2171.03,SL Hit,-69.77,0.01,-69.78,89.0,breakout,2026-04-18,,,,,,,,,
ITC_20260418_3,ITC,LONG,306.8,298.52,339.92,4,CLOSED,2026-07-16,298.52,SL Hit,-33.12,0.04,-33.16,89.0,pullback,2026-04-18,,,,,,,,,
SBIN_20260418_4,SBIN,LONG,1080.25,1028.18,1288.53,1,CLOSED,2026-07-16,1031.2,Time Exit,-49.05,0.01,-49.06,89.0,pullback,2026-04-18,,,,,,,,,
BHARTIARTL_20260418_5,BHARTIARTL,LONG,1846.9,1782.21,2105.66,1,CLOSED,2026-07-16,1921.8,Time Exit,74.9,0.01,74.89,89.0,pullback,2026-04-18,,,,,,,,,
SUNPHARMA_20260716_6,SUNPHARMA,LONG,1951.5,1951.5,2063.01,1,CLOSED,2026-08-07,1951.5,SL Hit,0.0,0.01,-0.01,22.0,bb_squeeze,2026-07-16,1.0,3.5,,,1919.64,,,,
SIEMENS_20260716_7,SIEMENS,LONG,3571.8,3808.46,4045.12,1,CLOSED,2026-08-07,3940.1,Time Exit,368.3,0.01,368.29,22.0,pullback,2026-07-16,1.0,4.0,,,3453.47,,,,
DEEPAKNTR_20260716_8,DEEPAKNTR,LONG,1697.0,1697.0,1906.06,1,CLOSED,2026-08-07,1796.5,Time Exit,99.5,0.01,99.49,22.0,breakout,2026-07-16,3.0,3.5,,,1637.27,,,,
AARTIIND_20260716_9,AARTIIND,LONG,500.7,482.96,562.79,5,CLOSED,2026-07-23,482.96,SL Hit,-88.7,0.05,-88.75,7.0,breakout,2026-07-16,2.0,3.5,,,,,,,
INFY_20260730_10,INFY,LONG,1155.6,1115.19,1297.03,2,OPEN,,,,,,,,breakout,2026-07-30,2.0,3.5,43.9,Tier 3 — Marginal,1115.19,INFY_20260730_10,full,100.0,Strongly positive
BHARTIARTL_20260731_11_quick,BHARTIARTL,LONG,1956.8,1911.46,2024.81,2,OPEN,,,,,,,,pullback,2026-07-31,1.0,4.0,49.4,Tier 3 — Marginal,1911.46,BHARTIARTL_20260731_11,quick,35.7,Negative
BHARTIARTL_20260731_11_core,BHARTIARTL,LONG,1956.8,1911.46,2138.16,2,OPEN,,,,,,,,pullback,2026-07-31,1.0,4.0,49.4,Tier 3 — Marginal,1911.46,BHARTIARTL_20260731_11,core,35.7,Negative
BHARTIARTL_20260731_11_runner,BHARTIARTL,LONG,1956.8,1911.46,47296.8,3,OPEN,,,,,,,,pullback,2026-07-31,1.0,4.0,49.4,Tier 3 — Marginal,1911.46,BHARTIARTL_20260731_11,runner,35.7,Negative
BAJFINANCE_20260731_12_quick,BAJFINANCE,LONG,1053.5,1016.49,1109.01,6,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,67.1,Tier 2 — Moderate Conviction,1016.49,BAJFINANCE_20260731_12,quick,100.0,Strongly positive
BAJFINANCE_20260731_12_core,BAJFINANCE,LONG,1053.5,1016.49,1201.54,6,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,67.1,Tier 2 — Moderate Conviction,1016.49,BAJFINANCE_20260731_12,core,100.0,Strongly positive
BAJFINANCE_20260731_12_runner,BAJFINANCE,LONG,1053.5,1016.49,38063.5,6,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,67.1,Tier 2 — Moderate Conviction,1016.49,BAJFINANCE_20260731_12,runner,100.0,Strongly positive
NESTLEIND_20260731_13_quick,NESTLEIND,LONG,1520.7,1478.53,1583.96,2,OPEN,,,,,,,,breakout,2026-07-31,1.0,3.5,63.8,Tier 2 — Moderate Conviction,1478.53,NESTLEIND_20260731_13,quick,,No data
NESTLEIND_20260731_13_core,NESTLEIND,LONG,1520.7,1478.53,1668.29,1,OPEN,,,,,,,,breakout,2026-07-31,1.0,3.5,63.8,Tier 2 — Moderate Conviction,1478.53,NESTLEIND_20260731_13,core,,No data
NESTLEIND_20260731_13_runner,NESTLEIND,LONG,1520.7,1478.53,43690.7,1,OPEN,,,,,,,,breakout,2026-07-31,1.0,3.5,63.8,Tier 2 — Moderate Conviction,1478.53,NESTLEIND_20260731_13,runner,,No data
BPCL_20260731_14_quick,BPCL,LONG,315.8,304.57,332.65,2,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,44.2,Tier 3 — Marginal,304.57,BPCL_20260731_14,quick,7.1,Strongly negative
BPCL_20260731_14_core,BPCL,LONG,315.8,304.57,360.72,1,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,44.2,Tier 3 — Marginal,304.57,BPCL_20260731_14,core,7.1,Strongly negative
BPCL_20260731_14_runner,BPCL,LONG,315.8,304.57,11545.8,1,OPEN,,,,,,,,cmf_accum,2026-07-31,1.0,4.0,44.2,Tier 3 — Marginal,304.57,BPCL_20260731_14,runner,7.1,Strongly negative
GAIL_20260731_15_quick,GAIL,LONG,173.64,169.1,180.45,1,OPEN,,,,,,,,rsi_divergence,2026-07-31,1.0,3.0,51.1,Tier 3 — Marginal,169.1,GAIL_20260731_15,quick,35.7,Negative
SBIN_20260807_11_quick,SBIN,LONG,1085.0,1062.3,1119.05,3,OPEN,,,,,,,,breakout,2026-08-07,2.0,3.5,65.2,Tier 2 — Moderate Conviction,1062.3,SBIN_20260807_11,quick,90.0,Strongly positive
SBIN_20260807_11_core,SBIN,LONG,1085.0,1062.3,1164.45,2,OPEN,,,,,,,,breakout,2026-08-07,2.0,3.5,65.2,Tier 2 — Moderate Conviction,1062.3,SBIN_20260807_11,core,90.0,Strongly positive
SBIN_20260807_11_runner,SBIN,LONG,1085.0,1062.3,23785.0,2,OPEN,,,,,,,,breakout,2026-08-07,2.0,3.5,65.2,Tier 2 — Moderate Conviction,1062.3,SBIN_20260807_11,runner,90.0,Strongly positive
